sender,recipients,timestamp,thread_id,email_id_in_thread,num_recipients
0,4,2020-02-07 03:38:45+00:00,1157,0,1
0,35,2020-02-07 03:45:34+00:00,1156,0,1
0,4,2020-02-07 03:53:47+00:00,1155,0,1
0,21;136;329;581;638,2020-02-07 03:55:22+00:00,1184,0,5
0,4,2020-02-07 03:56:15+00:00,1154,0,1
1186,0,2020-02-07 05:20:00+00:00,1153,1,1
4,1184,2020-02-07 06:51:00+00:00,1151,2,1
4,0,2020-02-07 07:42:00+00:00,1151,1,1
1183,0,2020-02-07 08:29:00+00:00,1147,3,1
0,8,2020-02-07 10:46:54+00:00,1153,0,1
0,1185,2020-02-07 20:20:58+00:00,1152,0,1
4,1169,2020-02-08 01:04:00+00:00,1127,2,1
1175,0,2020-02-08 03:23:00+00:00,1135,1,1
0,4,2020-02-08 03:23:51+00:00,1151,0,1
1181,0,2020-02-08 05:18:00+00:00,1145,1,1
550,0,2020-02-08 06:27:00+00:00,1144,1,1
1182,0;4,2020-02-08 07:06:00+00:00,1147,2,2
1172,0,2020-02-08 07:21:00+00:00,1130,1,1
1182,4,2020-02-08 07:57:00+00:00,1147,1,1
178,0,2020-02-08 10:13:00+00:00,111,2,1
178,0,2020-02-08 10:13:00+00:00,1141,1,1
1169,0,2020-02-08 11:33:00+00:00,1127,5,1
1169,0,2020-02-08 11:33:00+00:00,1150,1,1
66,35,2020-02-08 12:11:00+00:00,1148,1,1
4,1169,2020-02-08 12:46:00+00:00,1127,4,1
434,0,2020-02-08 12:51:00+00:00,1146,0,1
4,1169,2020-02-08 12:53:00+00:00,1127,3,1
0,4,2020-02-08 17:24:25+00:00,1150,0,1
0,4,2020-02-08 17:29:51+00:00,1149,0,1
0,35;66,2020-02-08 17:30:45+00:00,1148,0,2
0,4;1182,2020-02-08 17:44:45+00:00,1147,0,2
0,1181,2020-02-09 03:28:39+00:00,1145,0,1
0,550,2020-02-09 03:33:50+00:00,1144,0,1
1056,0,2020-02-09 04:53:00+00:00,1018,1,1
250,249,2020-02-09 05:03:00+00:00,1183,5,1
50,249,2020-02-09 05:59:00+00:00,1183,4,1
249,50,2020-02-09 06:01:00+00:00,1183,3,1
249,280,2020-02-09 06:03:00+00:00,1183,2,1
454,0,2020-02-09 06:06:00+00:00,1142,1,1
0,249;280,2020-02-09 06:24:00+00:00,1183,1,2
249,0;280,2020-02-09 06:35:00+00:00,1183,0,2
0,290,2020-02-09 07:24:00+00:00,1128,1,1
4,0,2020-02-09 07:46:00+00:00,1127,1,1
1176,0,2020-02-09 11:39:00+00:00,1138,1,1
0,4,2020-02-09 12:08:49+00:00,1143,0,1
1173,4,2020-02-09 12:30:00+00:00,1133,1,1
454,4,2020-02-09 12:30:00+00:00,1134,1,1
0,4,2020-02-09 12:40:23+00:00,1142,0,1
4,0,2020-02-09 12:44:00+00:00,1132,1,1
21,0,2020-02-09 12:46:00+00:00,1131,1,1
4,454,2020-02-09 13:00:00+00:00,1134,5,1
4,454,2020-02-09 13:00:00+00:00,1140,4,1
0,178,2020-02-09 13:05:06+00:00,1141,0,1
4,454,2020-02-09 13:33:00+00:00,1134,4,1
4,454,2020-02-09 13:33:00+00:00,1140,3,1
4,454,2020-02-09 14:26:00+00:00,1134,3,1
4,454,2020-02-09 14:35:00+00:00,1140,2,1
4,454,2020-02-09 14:42:00+00:00,1140,1,1
0,4,2020-02-09 15:53:02+00:00,1140,0,1
4,454,2020-02-09 16:15:00+00:00,1134,2,1
